,Questions,Correct,A,B,C,D,Category
0,"Which vegetables are considered taboo food in Buddhist tradition?
",Garlic and onion,All legumes,Garlic and onion,Eggplants and tomatoes,Cabbage and lettuce,humanities
1,"Is this the correct usage of the word inferring? 
"," saying that I look good today, are you inferring that I did not look good yesterday?",No,No,Yes,,humanities
2,"Is this the correct usage of the word continually? 
",ofessor Smith gave a speech yesterday. He spoke continually for 3 hours.,No,No,Yes,,humanities
3,"Which of these sentences is correct?
",Whence did he come?,"From hence to eternity, I will search.",Whence did he come?,From whence did he come?,"If you build it, thence he will come.",humanities
4,"Which of these is correct?
",The capitol building is located in the capital.,The capitol building is located in the capitol.,The capital building is located in the capital.,The capitol building is located in the capital.,The capital building is located in the capitol.,humanities
5,"In the following sentence, which word is incorrect?  
",e schools unprincipled principal understands the principle of the argument.,None of the words is incorrect; the sentence is correct as is.,principal,unprincipled,principle,humanities
6,"Which of the following is NOT a synonym of the word reticent?
",These are all synonyms of the word reticent.,These are all synonyms of the word reticent.,Restrained,Silent,Reluctant,humanities
7,"Which of the following is incorrect?
",These are all correct usages of the word comprised.,The class comprised 30 people.,Thirty people comprised the class.,These are all correct usages of the word comprised.,The class was comprised of 30 people.,humanities
8,"Which of these is incorrect?
",All of these sentences are correct.,He woke up at six.,All of these sentences are correct.,He awoke at six.,He awakened at six.,humanities
9,"Which of these sentences means I love you in Spanish?
",Te amo.,Te amo.,Kocham cie.,Mi amas vin.,Ti amo.,humanities
10,"Rakastan sinua is one of the ways to say I love you in which European language?
",Finnish,Bulgarian,French,Finnish,German,humanities
11,"Which expression would you use to say I love you in Danish?
",Jeg elsker dig.,Jeg elsker dig.,Volim te.,I love thee.,Je taime.,humanities
12,"In what European language does Je taime mean I love you?
",French,Swedish,Italian,German,French,humanities
13,"Which of the following sentences means I love you in German?
",Ich liebe Dich.,Ich liebe Dich.,Te amo.,Volim te.,Je taime.,humanities
14,"Volim te means I love you in three of these European languages. Which is the odd one?
",Italian,Croatian,Bosnian,Italian,Serbian,humanities
15,"What is the Swahili expression for I love you?
",Nakupenda,Te quiero,Nakupenda,Ti amo,Je taime,humanities
16,"In which Turkic language does Seni seviyorum mean I love you?
",Turkish,Navajo,Hebrew,Icelandic,Turkish,humanities
17,"Name this artificially-constructed international language, in which Mi amas vin means I love you.
",Esperanto,Thai,Navajo,Spanish,Esperanto,humanities
18,"Which of these sentences means I love you in Dutch?
",Ik hou van jou.,Ti amo.,Ik hou van jou.,Ne mohotatse.,Ich liebe Dich.,humanities
19,"The implement, used to extinguish the flame of a candle, is called this.
",Candlesnuffer,Candleberry,Candleholder,Candlestick,Candlesnuffer,humanities
20,"When something contains or yields an acid, it is this.
",Acidiferous,Acidiferous,Acidophilous,Acidimetric,Acidifiable,humanities
21,"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.
",Biotelemetry,Biomedicine,Bipartisanism,Biosystematy,Biotelemetry,humanities
22,"Enterokinase is this.
",Enzyme,Disease,Medical condition,Enzyme,Hormone,humanities
23,"Copious perspiration is known as this.
",Diaphoresis,Diaphoresis,Deuterogamy,Detumescence,Diabolisation,humanities
24,"Gerontology is the branch of medical science that deals with diseases and problems specific to these people.
",Elderly,Adults,Elderly,Blind people,Children,humanities
25,"One of these terms means preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion.
",Homolographic,Homologisation,Homomorphic,Homomorphism,Homolographic,humanities
26,"Hyperplasia is the abnormal increase in the number of these.
",Cells,Species,Habitat,Teeth,Cells,humanities
27,"The authority to teach religious doctrine is referred to as this.
",Magisterium,Mastigophoran,Magistrature,Magistrateship,Magisterium,humanities
