,Questions,Correct,A,B,C,D,Category,Difficulty
0,"In what fictional city is the TV show Futurama set?
",New New York,New Chicago,New New York,New San Francisco,None of these,video-games,1
1,"What is the lowest ranking species in the Covenant hierarchy in the Halo series?
",Grunt,Drone,Brute,Elite,Grunt,video-games,1
2,"Who controls the Flood in the Halo series?
",Gravemind,Gravemind,The Prophet of Truth,The Arbiter,No one,video-games,1
3,"What is a SPARTAN in the Halo series?
",All of these,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these,video-games,1
4,"What species is the Didact in the Halo series?
",Forerunner,Forerunner,Precursor,Promethean,Yamne,video-games,1
5,"In the Halo series, Zealots use Energy Swords.
",True,True,False,,,video-games,1
6,"Which of the following does the UNSC use to transport troops in the halo series?
",Pelicans,Falcons,Hornets,Phantoms,Pelicans,video-games,1
7,"What does UNSC stand for in the Halo series?
",United Nations Space Command,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court,video-games,1
8,"What is the largest UNSC ship in the Halo series?
",UNSC Infinity,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn,video-games,1
9,"What city does Halo 3 ODST take place in?
",New Mombasa,Voi,New Mombasa,Toronto,New York,video-games,1
10,"What is the largest species of the Covenant in the Halo series?
",Hunter,Brute,Hunter,Jackal,Elite,video-games,1
11,"Who made the fictional Mother Brain and for what purpose?
",The Chozo built her to be a organic Supercomputer.,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.,video-games,1
12,"How did the Alimbics become extinct in the Metroid series?
",The entire species used up their life energy to imprison Gorea.,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.,video-games,1
13,"What creature passes on the X Parasite to Samus in the Metroid series?
",Hornoad,Metroid,Space Pirate,Kihunter,Hornoad,video-games,1
14,"Who is the Deleter in the Metroid series?
",James Pierce,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce,video-games,1
15,"Kraid is the only one of his species encountered in the Metroid game.
",False,True,False,,,video-games,1
16,"What do Steamlords keep as pets in the Metroid series of games?
",Vaporwing,Steambot,Warp Hound,Steamspider,Vaporwing,video-games,1
17,"An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?
",Worm,Worm,Beast,Destroyer,Consumer,video-games,1
18,"King Worm can be fought after Mother Brainin Metroid Zero Mission.
",True,True,False,,,video-games,1
19,"What planet are Kihunters from in the Metroid games?
",Unknown,Space Pirate Homeworld,Unknown,SR388,Zebes,video-games,1
20,"What planet is Samus from  in the Metorid games?
",K-2L,It is unknown,K-2L,Norion,Zebes,video-games,1
21,"What is the name of the enemy faction in the first N.O.V.A?
",Xenos,Xenos,Volterites,Judgers,The Dominion,video-games,1
22,"The N.O.V.A 3 Shotgun is both semi and fully automatic.
",True,False,True,,,video-games,1
23,"On which planet does the first two missions in N.O.V.A 2 take place?
",Aquarius,Sagittarius,Earth,New Ceres,Aquarius,video-games,1
24,"Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?
",MazRah,Prometheus,Yelena,MazRah,Rufus,video-games,1
25,"In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.
",True,False,True,,,video-games,1
26,"Who is the leader of the Volterites in N.O.V.A?
",The Overseer,MazRah,None of the above,Prometheus,The Overseer,video-games,1
27,"Which Xeno is capable of teleporting in N.O.V.A?
",Heavy Demon,Heavy Demon,Red Demon,Imp,Fiend,video-games,1
28,"In N.O.V.A, President Folson is unarmed.
",False,False,True,,,video-games,1
29,"Boreas is the only desert planet in the N.O.V.A series.
",False,False,True,,,video-games,1
30,"What is the name of the damsel you have to save in the classic arcade game Donkey Kong?
",Pauline,Peach,Daisy,Pauline,Dixie Kong,video-games,1
31,"Which of these was a name that game character, Mario, was once called?
",Jumpman,Koopa,Plumberio,Jumpman,Luigi,video-games,1
32,"Who or what turned Warios treasure into monsters in the game, Wario World?
",The black jewel,Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser,video-games,1
33,"In the Mario games, what animal is a paratroopa?
",A turtle,A bird,A lizard,A turtle,A tiger,video-games,1
34,"When first created, Mario game character, Birdo, was what?
",A boy,A dog,A boy,A girl,A bird,video-games,1
